|metroId|metropolitanAreas|lat|long|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
205|FR026|Grenoble|45.1875602|5.7357819|0.0|128.0|40.0|27.1|270.0|14.9|1.0|1.0|0.9|0.05258833196384552|25.6|0.7666190734480612|0.0032931434456120547|1.4105835403437452
206|FR028|Saint Denis|48.935773|2.3580232000000003|0.0|48.0|20.0|6.9873217115689386|559.0|5.2|2.806379585326946|2.8395534290271063|2.652950558213709|0.08711433756805807|53.4|0.1735444163803951|0.000745489744672244|0.3193227324278568
208|FR032|Toulon|43.125731099999996|5.9304919|26.0|196.0|77.0|6.6|508.0|13.1|0.7|0.8|1.1|0.1882804995196926|22.1|0.3278761115281149|0.0014084479568127154|0.6032939463836642
209|FR034|Valenciennes|50.3579317|3.5234845999999997|6.0|141.0|34.0|6.9873217115689386|486.0|15.5|2.806379585326946|2.8395534290271063|2.652950558213709|0.20704845814977973|3.7|0.21448955999101463|0.0009213766172809405|0.3946620340896016
210|FR035|Tours|47.3900474|0.6889268|7.0|182.0|63.0|31.9|142.0|11.9|0.7|0.8|0.8|0.05082379223680536|7.0|1.1278812251509889|0.004845006852398015|2.0753079942362165
211|FR036|Angers|47.473988399999996|-0.5515588|6.0|214.0|43.0|31.9|175.0|12.1|0.7|0.6|0.6|0.0907164052564646|2.8|0.7429968752111652|0.0031916702498762683|1.3671185586158154
212|FR037|Brest|48.3905283|-4.4860088|0.0|160.0|30.0|6.9873217115689386|278.0|10.5|2.806379585326946|2.8395534290271063|2.652950558213709|0.12578616352201258|1.7|0.4006324820977542|0.0017209853996789375|0.7371660901056877
213|FR038|Le Mans|48.0073796|0.1967599|5.0|147.0|40.0|40.5|153.0|12.2|0.6|0.5|0.6|0.061712846347607056|4.0|0.7502410160038133|0.003222788696568576|1.380447819679047
214|FR039|Avignon|43.9492493|4.8059012|79.0|167.0|34.0|6.9873217115689386|363.0|14.6|2.806379585326946|2.8395534290271063|2.652950558213709|0.18596881959910913|1.7|0.2828364535564334|0.0012149723969431493|0.5204207145557449
215|FR040|Mulhouse|47.7467|7.3389275|3.0|162.0|44.0|33.9|344.0|13.0|0.6|0.6|0.6|0.1408695652173913|17.6|0.3622070396324036|0.0015559223346153913|0.6664630531615886
