|index|metroId|metropolitanAreas|latitude|longitude|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
79|79|DE001|Berlin|52.517036499999996|13.388859900000002|35.0|1068.0|465.0|4.9|287.0|16.2|6.1|6.3|5.9|0.0611929181229588|25.1|9.01723347071956|0.061995682921775146|8.04262693914935
80|80|DE002|Hamburg|53.550341|10.000653999999999|4.0|760.0|325.0|13.1|440.0|12.8|4.0|3.9|3.8|0.10567296996662959|13.7|3.7158049115576164|0.025547066497072533|3.3141908523670507
81|81|DE003|Munich|48.1371079|11.575382199999998|3.0|564.0|180.0|7.0|504.0|12.9|3.6|3.5|3.1|0.10263876251137398|10.2|2.8390361497509877|0.019519067074723798|2.5321855858950144
82|82|DE004|Cologne|50.938361|6.959974000000001|8.0|500.0|273.0|1.0|1187.0|14.2|2.4|2.4|2.2|0.3076923076923077|20.6|0.8395693800446504|0.005772244585336882|0.7488264926441124
83|83|DE005|Frankfurt am Main|50.1106444|8.682091699999999|11.0|697.0|172.0|4.2|598.0|13.3|3.4|3.2|2.9|0.16216845044206607|26.7|2.220596427958097|0.015267142909401798|1.9805884710057817
84|84|DE007|Stuttgart|48.778448499999996|9.1800132|8.0|638.0|145.0|6.7|731.0|13.3|3.5|3.3|3.1|0.1747945205479452|30.1|1.885801992100292|0.012965349376295152|1.681979506554468
85|85|DE008|Leipzig|51.3406321|12.3747329|24.0|365.0|126.0|6.6|248.0|15.2|1.1|1.2|1.3|0.0918932527693857|10.3|2.0521658938691396|0.014109141841820367|1.8303623561737936
86|86|DE009|Dresden|51.0493286|13.7381437|25.0|447.0|109.0|9.6|228.0|14.7|1.6|1.6|1.9|0.07671185858932555|23.0|3.0105666323201095|0.020698381045389545|2.6851765985459957
87|87|DE011|Dusseldorf|51.2254018|6.7763137|9.0|392.0|157.0|1.3|1265.0|14.5|1.9|1.9|1.9|0.32666666666666666|10.7|0.6199896960329726|0.004262580616864159|0.5529795637987291
88|88|DE012|Bremen|53.0758196|8.8071646|8.0|384.0|126.0|10.3|210.0|12.8|1.5|1.5|1.5|0.06526172671651938|6.8|3.0400161428816763|0.020900853624690595|2.7114431278264357
